Date,Type,Shares,Loot,Applicant,Title,Token,In,Out
1644604646,Tokens Collected,,,,,WETH,2.0000,0
1644603102,Tokens Collected,,,,,WETH,1.0000,0
1644602007,Tokens Collected,,,,,WETH,5.0000,0
1644599601,Tokens Collected,,,,,WETH,1.0000,0
1644599516,Tokens Collected,,,,,WETH,5.0000,0
1644599228,Tokens Collected,,,,,WETH,1.0000,0
1644599089,Tokens Collected,,,,,WETH,1.0000,0
1644598812,Tokens Collected,,,,,WETH,1.0000,0
1644598518,Tokens Collected,,,,,WETH,2.2700,0
1644597231,Tokens Collected,,,,,WETH,1.0000,0
1644596827,Tokens Collected,,,,,WETH,2.0000,0
1644596727,Tokens Collected,,,,,WETH,1.0000,0
1644596573,Tokens Collected,,,,,WETH,2.0000,0
1644596136,Tokens Collected,,,,,WETH,1.0000,0
1644595990,Tokens Collected,,,,,WETH,1.0000,0
1644595285,Tokens Collected,,,,,WETH,1.0000,0
1644595254,Tokens Collected,,,,,WETH,6.0000,0
1644593643,Tokens Collected,,,,,WETH,0.4,0
1644592735,Tokens Collected,,,,,WETH,0.2,0
1644461091,Tokens Collected,,,,,WETH,0.3,0
